0 	0	1	1	0	1
2 	0	0	0	0	1
3 	0	1	1	0	1
4 	0	0	0	0	1
5 	0	1	1	0	1
6 	1	0	0	0	0
7 	1	1	1	0	1
8 	1	1	0	0	1
9 	1	1	1	0	1
10 	1	1	0	0	1
11 	1	1	1	0	1
12 	1	0	0	0	1
13 	1	1	0	0	1
15 	1	1	1	0	1
17 	1	1	0	0	1
18 	1	1	1	0	1
19 	1	1	0	0	1
20 	1	1	1	0	1
21 	0	1	0	1	1
22 	0	0	1	1	1
23 	0	1	1	1	1
29 	1	1	1	0	1
32 	1	0	1	0	1
33 	1	1	0	0	1
34 	1	0	0	0	0
35 	0	0	0	1	0
36 	0	1	1	1	1
49 	1	1	0	0	1
51 	1	1	1	1	1
62 	1	0	0	0	0
63 	1	1	1	0	1
64 	1	1	0	0	1
65 	1	1	1	0	1
66 	1	1	0	0	1
67 	1	1	1	0	1
68 	1	1	0	0	1
69 	1	1	1	0	1
71 	1	1	0	0	1
72 	1	1	1	0	1
73 	1	1	0	0	1
74 	1	1	1	0	1
75 	1	1	0	0	1
76 	1	1	1	0	1
77 	0	1	0	0	1
78 	1	0	1	1	1
79 	0	1	1	1	1
84 	1	1	1	1	1
85 	1	1	1	0	1
89 	1	1	0	0	0
90 	1	0	0	0	0
91 	0	1	0	1	1
92 	0	1	1	1	1
105 	1	1	1	0	1
107 	1	0	1	1	1
108 	1	1	1	1	1
118 	1	0	0	0	0
119 	1	0	1	0	0
122 	1	1	1	0	1
132 	1	0	0	0	0
133 	0	0	0	0	0
134 	1	1	1	0	1
136 	1	1	0	0	1
137 	1	1	1	0	1
138 	1	1	0	0	1
139 	1	1	1	0	1
140 	1	1	0	0	1
141 	1	1	1	0	1
143 	1	1	0	0	1
144 	1	1	1	0	1
145 	1	1	0	0	1
146 	1	1	1	0	1
147 	1	1	0	0	0
148 	0	1	0	1	1
155 	1	1	1	0	1
158 	1	1	0	0	1
159 	1	0	0	0	0
160 	1	1	0	0	1
162 	0	1	0	0	1
164 	1	1	0	1	0
166 	1	1	1	1	1
167 	1	0	0	1	0
168 	0	1	1	1	1
180 	1	0	0	1	0
181 	1	0	0	1	1
182 	1	1	1	1	1
193 	1	0	0	0	0
194 	0	0	0	0	0
