0 	0	0	0	0	0
13 	1	1	1	1	1
17 	0	0	0	0	0
19 	1	1	1	1	1
22 	0	0	0	0	0
26 	0	0	0	0	1
31 	0	0	0	0	0
32 	0	0	0	0	1
37 	1	0	0	0	0
50 	0	0	0	0	0
51 	0	1	0	0	0
64 	1	0	0	0	0
77 	1	1	1	1	1
81 	0	0	0	0	1
82 	1	1	1	1	1
87 	0	0	0	0	1
90 	1	0	0	0	0
101 	1	0	1	0	0
102 	0	0	1	0	0
114 	0	0	0	0	0
115 	0	1	0	0	0
128 	0	0	1	0	0
140 	1	1	1	1	1
145 	0	0	0	1	0
147 	1	1	1	1	1
151 	0	0	0	1	0
153 	0	0	1	1	0
157 	0	0	0	1	0
160 	0	1	0	0	0
166 	1	1	0	0	0
169 	1	0	0	0	0
179 	1	1	1	1	1
184 	0	0	0	0	1
185 	1	1	1	1	1
190 	0	0	0	0	1
193 	0	0	0	0	0
