0 	0	1	0	0	0
15 	1	1	1	0	0
28 	1	1	1	1	0
29 	0	0	1	1	0
37 	1	0	1	0	0
43 	1	0	0	1	0
44 	1	1	1	1	1
59 	1	1	1	0	1
60 	0	1	1	1	1
72 	0	1	0	1	1
73 	1	1	1	1	1
75 	0	1	1	0	1
76 	1	1	0	1	1
77 	1	1	1	1	1
78 	0	1	1	0	1
79 	0	1	1	0	1
80 	1	1	0	1	1
81 	1	1	1	1	1
83 	1	1	1	0	1
84 	1	1	0	1	1
85 	1	1	1	1	1
89 	1	1	1	0	1
115 	0	1	1	1	0
117 	1	0	1	0	1
118 	1	1	1	0	1
133 	0	1	1	1	1
146 	0	1	0	1	1
147 	1	1	1	0	1
149 	0	1	1	0	1
150 	0	1	0	1	1
151 	0	1	1	1	1
152 	0	1	1	0	1
153 	0	1	1	0	1
154 	1	1	0	0	1
155 	1	1	1	0	1
156 	0	1	1	0	1
157 	1	1	1	0	1
158 	1	1	0	1	1
159 	1	1	1	0	1
162 	1	1	0	0	0
163 	0	1	0	1	0
167 	0	1	0	0	0
168 	0	1	0	1	0
171 	0	1	0	1	1
176 	1	0	1	0	0
189 	0	0	1	0	0
190 	1	0	1	0	0
192 	0	0	1	1	0
205 	1	0	1	0	0
207 	0	0	1	1	0
223 	0	0	0	0	0
